,0
0,16
1,14
2,17
3,28
4,29
5,30
6,31
7,32
8,33
9,34
10,37
11,38
12,39
13,43
14,44
15,8
16,52
17,53
18,51
19,56
20,57
21,72
22,70
23,71
24,77
25,78
26,79
27,96
28,97
29,105
30,118
31,119
32,126
33,127
34,139
35,140
36,152
37,153
38,154
39,49
40,62
41,169
42,170
43,171
44,172
45,173
46,178
47,179
48,184
49,182
50,183
51,185
52,202
53,203
54,204
55,209
56,207
57,218
58,219
59,225
60,223
61,226
62,227
63,228
64,229
65,233
66,240
67,241
68,239
69,244
70,245
71,248
72,249
73,250
74,247
75,280
76,279
77,281
78,282
79,285
80,287
81,292
82,293
83,294
84,295
85,296
86,299
87,300
88,304
89,305
90,268
91,310
92,308
93,193
94,314
95,315
96,328
97,325
98,326
99,338
100,341
101,342
102,344
103,345
104,347
105,348
106,358
107,111
108,365
109,366
110,369
111,364
112,320
113,382
114,206
115,383
116,388
117,389
118,392
119,391
120,393
121,395
122,398
123,3
124,399
125,402
126,155
127,336
128,409
129,410
130,432
131,433
132,429
133,431
134,434
135,435
136,437
137,175
138,444
139,445
140,450
141,451
142,453
143,459
144,460
145,462
146,465
147,466
148,474
149,475
150,476
151,477
152,478
153,479
154,480
155,481
156,482
157,485
158,488
159,489
160,490
161,491
162,492
163,493
164,494
165,497
166,519
167,524
168,525
169,461
170,531
171,532
172,534
173,535
174,26
175,555
176,556
177,554
178,557
179,558
180,559
181,560
182,561
183,562
184,563
185,564
186,565
187,566
188,569
189,198
190,125
191,572
192,577
193,578
194,574
195,76
196,582
197,583
198,584
199,585
200,586
201,588
202,589
203,590
204,603
205,605
206,606
207,612
208,613
209,617
210,618
211,624
212,627
213,628
214,636
215,637
216,640
217,638
218,639
219,653
220,654
221,655
222,663
223,664
224,667
225,670
226,676
227,73
228,678
229,682
230,90
231,687
232,688
233,689
234,692
235,693
236,387
237,708
238,710
239,711
240,717
241,413
242,728
243,538
244,727
245,752
246,760
247,763
248,764
249,253
250,767
251,777
252,772
253,790
254,791
255,794
256,795
257,808
258,809
259,817
260,819
261,818
262,674
263,527
264,826
265,827
266,848
267,861
268,862
269,869
270,871
271,872
272,874
273,696
274,878
275,881
276,884
277,885
278,890
279,896
280,801
281,897
282,899
283,900
284,902
285,901
286,923
287,924
288,926
289,927
290,931
291,102
292,939
293,463
294,713
295,940
296,948
297,949
298,950
299,951
300,957
301,958
302,722
303,514
304,960
305,961
306,291
307,511
308,974
309,975
310,980
311,981
312,982
313,983
314,984
315,343
316,985
317,995
318,996
319,1002
320,1010
321,1011
322,1012
323,1014
324,962
325,1018
326,18
327,1021
328,1022
329,1025
330,1026
331,1027
332,1028
333,1029
334,124
335,1030
336,1032
337,1033
338,850
339,1040
340,750
341,83
342,515
343,1053
344,1054
345,1055
346,1060
347,1064
348,601
349,1072
350,781
351,1082
352,1084
353,1090
354,288
355,1091
356,1095
357,1097
358,1099
359,1103
360,1104
361,1105
362,1106
363,1107
364,1108
365,1109
366,1110
367,1113
368,964
369,1118
370,265
371,1129
372,1130
373,1136
374,1137
375,1140
376,1143
377,1146
378,1147
379,1155
380,1156
381,1157
382,1164
383,1167
384,1168
385,1169
386,1170
387,1173
388,1174
389,1179
390,91
391,1183
392,1185
393,1186
